"","Date","Rides"
"246",2019-09-03,28237
"247",2019-09-04,30397
"248",2019-09-05,34704
"249",2019-09-06,32380
"250",2019-09-07,19988
"251",2019-09-08,18191
"252",2019-09-09,30580
"253",2019-09-10,35819
"254",2019-09-11,39494
"255",2019-09-12,39624
"256",2019-09-13,39656
"257",2019-09-14,25347
"258",2019-09-15,21974
"259",2019-09-16,33471
"260",2019-09-17,36379
"261",2019-09-18,37645
"262",2019-09-19,40150
"263",2019-09-20,39188
"264",2019-09-21,25983
"265",2019-09-22,23807
"266",2019-09-23,33515
"267",2019-09-24,37430
"268",2019-09-25,39023
"269",2019-09-26,39591
"270",2019-09-27,38216
"271",2019-09-28,22942
"272",2019-09-29,19888
"273",2019-09-30,27401
"274",2019-10-01,31596
"275",2019-10-02,38048
"276",2019-10-03,38393
"277",2019-10-04,36866
"278",2019-10-05,22905
"279",2019-10-06,19139
"280",2019-10-07,28787
"281",2019-10-08,31444
"282",2019-10-09,31878
"283",2019-10-10,38441
"284",2019-10-11,41375
"285",2019-10-12,24143
"286",2019-10-13,21988
"287",2019-10-14,30433
"288",2019-10-15,36852
"289",2019-10-16,39160
"290",2019-10-17,39277
"291",2019-10-18,37347
"292",2019-10-19,24486
"293",2019-10-20,22867
"294",2019-10-21,32941
"295",2019-10-22,36388
"296",2019-10-23,35912
"297",2019-10-24,37797
"298",2019-10-25,36383
"299",2019-10-26,24987
"300",2019-10-27,22439
"301",2019-10-28,31361
"302",2019-10-29,36853
"303",2019-10-30,38613
"304",2019-10-31,34808
"305",2019-11-01,36694
"306",2019-11-02,22098
"307",2019-11-03,18740
"308",2019-11-04,29349
"309",2019-11-05,33954
"310",2019-11-06,35019
"311",2019-11-07,39548
"312",2019-11-08,35189
"313",2019-11-09,21785
"314",2019-11-10,20770
"315",2019-11-11,29659
"316",2019-11-12,39564
"317",2019-11-13,39418
"318",2019-11-14,40034
"319",2019-11-15,35585
"320",2019-11-16,20532
"321",2019-11-17,16840
"322",2019-11-18,31296
"323",2019-11-19,35274
"324",2019-11-20,35574
"325",2019-11-21,39109
"326",2019-11-22,37055
"327",2019-11-23,20383
"328",2019-11-24,16530
"329",2019-11-25,25084
"330",2019-11-26,29700
"331",2019-11-27,22831
"332",2019-11-28,10554
"333",2019-11-29,17268
"334",2019-11-30,23258
"335",2019-12-01,23000
"336",2019-12-02,36576
"337",2019-12-03,39864
"338",2019-12-04,40985
"339",2019-12-05,44215
"340",2019-12-06,41827
"341",2019-12-07,25833
"342",2019-12-08,18607
"343",2019-12-09,30564
"344",2019-12-10,36485
"345",2019-12-11,37676
"346",2019-12-12,41299
"347",2019-12-13,39491
"348",2019-12-14,25795
"349",2019-12-15,18214
"350",2019-12-16,30944
"351",2019-12-17,35582
"352",2019-12-18,38511
"353",2019-12-19,39871
"354",2019-12-20,36583
"355",2019-12-21,21297
"356",2019-12-22,17805
"357",2019-12-23,22689
"358",2019-12-24,12427
"359",2019-12-25,5498
"360",2019-12-26,14749
"361",2019-12-27,20604
"362",2019-12-28,17424
"363",2019-12-29,14278
"364",2019-12-30,20878
"365",2019-12-31,20018
